area,area_title,occ_code,occ_title,tot_emp,loc_quotient,h_mean,a_mean
1,Alabama,11-0000,Management Occupations,"73,860",0.72,52.73,"1,09,680"
2,Alaska,11-0000,Management Occupations,"19,780",1.19,52.55,"1,09,310"
4,Arizona,11-0000,Management Occupations,"1,68,480",1.15,50.45,"1,04,940"
5,Arkansas,11-0000,Management Occupations,"62,780",0.99,43.58,"90,640"
6,California,11-0000,Management Occupations,"9,96,830",1.11,65.31,"1,35,840"
8,Colorado,11-0000,Management Occupations,"1,16,770",0.85,63.34,"1,31,750"
9,Connecticut,11-0000,Management Occupations,"1,17,110",1.34,68.46,"1,42,390"
10,Delaware,11-0000,Management Occupations,"18,810",0.8,67.42,"1,40,240"
11,District of Columbia,11-0000,Management Occupations,"86,690",2.31,71.96,"1,49,680"
12,Florida,11-0000,Management Occupations,"4,00,230",0.88,52.58,"1,09,360"
13,Georgia,11-0000,Management Occupations,"2,48,840",1.08,56.69,"1,17,910"
15,Hawaii,11-0000,Management Occupations,"34,040",1.01,51.68,"1,07,490"
16,Idaho,11-0000,Management Occupations,"40,470",1.09,39.68,"82,530"
17,Illinois,11-0000,Management Occupations,"4,53,460",1.44,55.57,"1,15,580"
18,Indiana,11-0000,Management Occupations,"1,43,700",0.9,47.6,"99,020"
19,Iowa,11-0000,Management Occupations,"83,890",1.03,48.35,"1,00,560"
20,Kansas,11-0000,Management Occupations,"62,660",0.87,50.2,"1,04,420"
21,Kentucky,11-0000,Management Occupations,"87,530",0.88,45.32,"94,270"
22,Louisiana,11-0000,Management Occupations,"82,620",0.82,47.91,"99,650"
23,Maine,11-0000,Management Occupations,"35,630",1.12,46.37,"96,440"
24,Maryland,11-0000,Management Occupations,"1,63,380",1.16,62.85,"1,30,730"
25,Massachusetts,11-0000,Management Occupations,"2,94,490",1.57,64.38,"1,33,910"
26,Michigan,11-0000,Management Occupations,"1,98,270",0.87,55.53,"1,15,490"
27,Minnesota,11-0000,Management Occupations,"1,71,250",1.13,56.83,"1,18,200"
28,Mississippi,11-0000,Management Occupations,"56,330",0.95,39.19,"81,510"
29,Missouri,11-0000,Management Occupations,"1,23,150",0.83,51.64,"1,07,410"
30,Montana,11-0000,Management Occupations,"16,490",0.68,43.93,"91,370"
31,Nebraska,11-0000,Management Occupations,"51,410",1,47.11,"97,990"
32,Nevada,11-0000,Management Occupations,"63,600",0.9,54.81,"1,14,010"
33,New Hampshire,11-0000,Management Occupations,"38,350",1.12,58.07,"1,20,780"
34,New Jersey,11-0000,Management Occupations,"2,08,980",0.98,72.61,"1,51,040"
35,New Mexico,11-0000,Management Occupations,"36,630",0.86,47.57,"98,940"
36,New York,11-0000,Management Occupations,"4,82,770",0.98,74.95,"1,55,900"
37,North Carolina,11-0000,Management Occupations,"1,91,090",0.83,59.24,"1,23,220"
38,North Dakota,11-0000,Management Occupations,"22,590",1.03,47.72,"99,260"
39,Ohio,11-0000,Management Occupations,"2,40,570",0.84,53.68,"1,11,650"
40,Oklahoma,11-0000,Management Occupations,"84,300",1,47.93,"99,680"
41,Oregon,11-0000,Management Occupations,"1,14,040",1.15,50.29,"1,04,610"
42,Pennsylvania,11-0000,Management Occupations,"2,53,290",0.82,60.48,"1,25,800"
44,Rhode Island,11-0000,Management Occupations,"20,900",0.82,66.35,"1,38,020"
45,South Carolina,11-0000,Management Occupations,"89,190",0.82,49.57,"1,03,100"
46,South Dakota,11-0000,Management Occupations,"11,870",0.53,51.5,"1,07,120"
47,Tennessee,11-0000,Management Occupations,"1,69,830",1.09,47.59,"98,980"
48,Texas,11-0000,Management Occupations,"5,51,410",0.86,58.35,"1,21,360"
49,Utah,11-0000,Management Occupations,"1,03,300",1.35,45.32,"94,260"
50,Vermont,11-0000,Management Occupations,"16,170",1.01,47.11,"97,990"
51,Virginia,11-0000,Management Occupations,"1,73,960",0.86,67.45,"1,40,300"
53,Washington,11-0000,Management Occupations,"1,65,590",0.97,61.23,"1,27,360"
54,West Virginia,11-0000,Management Occupations,"30,780",0.84,43.12,"89,690"
55,Wisconsin,11-0000,Management Occupations,"1,26,060",0.84,53.95,"1,12,210"
56,Wyoming,11-0000,Management Occupations,"12,420",0.88,47.65,"99,120"
1,Alabama,13-0000,Business and Financial Operations Occupations,"74,370",0.72,34.47,"71,700"
2,Alaska,13-0000,Business and Financial Operations Occupations,"12,800",0.76,37.04,"77,040"
4,Arizona,13-0000,Business and Financial Operations Occupations,"1,49,110",1,32.59,"67,780"
